Salón,Entidad,Distrito,ZORE,ARE,Responsable,Codigo,ID_survey,LINK,,,,
0101-01001,1,1,1,1,David,29203,117166,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117166&ou=29203,,David,4.905,"20,00 %"
0101-01005,1,1,1,5,David,29207,119621,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119621&ou=29207,,Gabriela,4.905,"20,00 %"
0101-01006,1,1,1,6,David,29208,117334,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117334&ou=29208,,Milan,4.906,"20,00 %"
0101-02009,1,1,2,9,David,29211,117568,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=117568&ou=29211,,Ricardo,4.906,"20,00 %"
0101-02011,1,1,2,11,David,29213,119482,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119482&ou=29213,,Teresa,4.905,"20,00 %"
0101-02013,1,1,2,13,David,29215,120033,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=120033&ou=29215,,,24.527,
0101-05028,1,1,5,28,David,29228,124166,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=124166&ou=29228,,,,
0101-05031,1,1,5,31,David,29230,119140,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119140&ou=29230,,,,
0101-06030,1,1,6,30,David,29233,118318,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=118318&ou=29233,,,,
0101-09045,1,1,9,45,David,29247,124659,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=124659&ou=29247,,,,
0101-09069,1,1,9,69,David,29248,119512,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=119512&ou=29248,,,,
0101-09070,1,1,9,70,David,29249,127059,https://capacitacionvirtualine.brightspace.com/d2l/lms/survey/admin/stats/survey_stats_users.d2l?si=127059&ou=29249,,,,
